key,q,a
,抽奖积分什么时候到账,"尊敬的百旅会会员您好，23号24点前抽中积分用户25号之前进行充值到账，24点后抽奖用户充值需要等到年后进行充值的哦。详情可以咨询[link url=""tel:4001807777""]400-180-7777[/link]"
,火车票、景点门票、出境游、国内游、酒店咨询,"尊敬的同程vip会员您好，这里是百旅会在线咨询。如果您需要别的单品项目咨询或者出游线路咨询请详细拨打[link url=""tel:4007777777""]400-777-7777[/link]热线电话进行咨询哦"
,百旅会情人节幸运大转盘活动,尊敬的百旅会会员您好，百旅会情人节活动如下：2月13日00:00~2月14日23:59期间，完成付款的百旅会白金浪漫版或黄金关爱版的会员，均可参与抽奖，百分百中奖；奖品分为八种类型：200积分，400积分，600积分，800积分，价值109元保温杯（颜色随机），价值369元的威乐尼床上四件套（颜色随机），价值689元的苏泊尔锅具三件套，价值千元的钻石小鸟吊坠；
,百旅会情人节活动怎样参与,"尊敬的百旅会会员您好，百旅会情人节大转盘活动只针对于百旅会会员哦~参与步骤如下：第一步：打开同程客户端或者下载后打开同程客户端。
第二步：登录同程客户端，需要确保登陆账号和付款账号为同一手机号码
第三步：[link url='https://app.ly.com/tool/Lottery/JQThreeDay/second']情人节大转盘点击查看[/link]"
,百旅会情人节活动中奖领取流程,"尊敬的百旅会会员您好：奖品发放流程：
1、品牌保温杯/床上四件套/苏泊尔锅具/钻石小鸟吊坠：
1）由会员市场中心统一采购，同时会根据最终中奖的顾客信息来进行奖品分配并寄往各体验店或者直接寄送给中奖顾客（需旅顾与顾客确认）；
2）奖品统一在本阶段活动结束之后7个工作之内寄送，奖品邮寄进度会有详细的订单号同步各门店/中奖顾客，便于门店/中奖顾客进行快件查询追踪；
3）奖品一旦发货后，7~10个工作日之内到货；  
2、200/400/600/800积分：
用户抽中积分的奖励后，中奖的用户信息由统一在2月14日抽奖结束后获取整理，在7天犹豫期后统一充值。"
,三八女神节，重返十八岁活动,尊敬的百旅会会员您好：3月5日至3月15日期间，凡百旅会女性会员，报名参加百旅会周边游，并将出游时的自拍照上传至指定活动页面（导游现场引导），邀请好友进行点赞，活动期间获得点赞数最多的5名会员，可获得“翠佛堂”品牌独家赞助的奢美玉石！
,怎么投不了票,尊敬的同程vip会员您好，重返十八岁活动是开始日期是3.5日---3月20日哦~每天只能投5票，有问题可以随时电话咨询哦~
,重返十八岁，活动流程,尊敬的百旅会会员您好：春风拂面、草长莺飞的日子里，即将迎来女性同胞专属节日—3.8节。活动时间：2月21日-3月8日。我们百旅会精心准备了好礼相送：价值3800元翠佛堂碧玉如意吊坠（3份）、价值400元电烤箱、价值200元空气净化四联合套装、旅行包、旅行电脑包、旅途耳机、旅行保温杯等！只要将您身旁的她曾经模样或是现在模样照片上传，即可参与。（具体参与方式：点击进入活动页面，点击左下角“报名”按钮，即可上传信息）[link url='http://a8.ttianzhu.cn/show/vote/modern/VoteList.aspx?id=103']重返十八岁点击查看[/link]
,重返十八岁怎样投票,尊敬的同程vip会员您好，投票只能微信端投票哦，您可以先关注百旅会微信公众号，点击链接[link url='http://a8.ttianzhu.cn/show/vote/modern/VoteList.aspx?id=103']重返十八岁点击查看[/link]对您想要投票的选手投票哦~
,投票,"尊敬的同程vip会员您好，这里是机器人智能自动回复哦，无法代您直接投票，您可以在微信端直接点击[link url='http://a8.ttianzhu.cn/show/vote/modern/VoteList.aspx?id=103']重返十八岁点击查看[/link]对您想要投票的选手投票哦~如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45"
,三八女王节，重返十八岁,"尊敬的同程vip会员您好：活动投票时间：2017年3月5日0点—3月20日24 点。2、活动集赞页面链接：[link url='https://app.ly.com/pub/PlatAct/VoteAct?activityurl=1577']重返十八岁点击查看[/link]
3、活动规则：1.填写正确的手机号码，同意《同程旅游服务条款》参与本活动；
2.投票开始时间为3月5日0点，截止至3月20日24点，活动期间，女性百旅会新老会员皆可参加；
3.女性百旅会员将旅游时本人的自拍美照上传至本活动页面，邀请好友进行点赞，活动结束后点赞数量最多的5名女性会员可以获得奖品，每位女性会员有一次有效参与机会，非百旅会员参与视为无效；
4：奖品设置：
第一、第二名均可获得，价值5800元""翠佛堂白玉金镶嵌路路通""1件，第三、第四、第五名均可获得，价值3800元“翠佛堂碧玉如意吊坠”1件。.活动结束5个工作日内，会有客服和您联系兑奖事宜，请确保填写信息的准确性；参与活动的用户若存在以不正当方式，同程旅游将有权终止其参与活动，取消其获得奖品的资格，具体认定以同程旅游判定为准。"
,会销活动地址在哪里,尊敬的百旅会会员您好，同程旅游将于3月18-19日在各个线下举行会销活动，各个地方的会销场所地点不一样，如果您需要咨询您当地的会销地点，可以详细咨询各个门店，如有疑问也可以直接拨打400-180-7777进行详细咨询哦~
,迪士尼活动,"尊敬的同程vip会员您好：1.为了更好回馈百旅会老客户，老会员可以使用2次周边游权益抵一次迪士尼跟团一日游，同时可以积分抵扣超值优惠价购买迪士尼跟团一日游
2.       活动内容：上海迪士尼乐园针对华东区域城市百旅会会员首次开放50周岁以上的特惠政策，且可使用专属通道优先入园，限时限量，体会不一样的迪士尼，就在同程321旅游节活动周期：3月15日-4月6日。
3：活动主题：321旅游节大牌景点春游季：百旅会遇见迪士尼
4.       发班城市：杭州、嘉兴、湖州、无锡、苏州、上海、南通、宁波"
,抽奖赠送的积分没到账,"尊敬的同程vip会员您好，参加会销活动抽到积分的用户统一在活动结束后7个工作日充值哦~如果您的积分还没有到账，耐心等待下哦~

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）"
,百旅会旅游春晚简介,"尊敬的同程vip会员您好：主题为""悦享好风光，圆梦大舞台""的《第二届中国中老年旅游春晚》之""我要上旅游春晚""活动在全国拉开帷幕。在首届旅游春晚创下超10万人参赛的盛况后，本届旅游春晚通过对赛程设计、节目的丰富性等全面升级和创新，继续为广大中老年朋友提供一个展示才艺和民俗特色的舞台。
优胜者将参与旅游春晚录制。旅游卫视春晚首播以后，各个地方台和省台会进行转播。该活动也得到了地方政府和旅游局的联合支持。
备注：百旅会会员/同程旅游会员优先享有报名参与海选机会。"
,旅游春晚赛事安排,"尊敬的同程vip会员您好：活动主题：悦享好风光，囿梦大舞台
  活动时间：
  1、才艺晋级赛：
  海选赛   2017年3月 -8月
  晋级赛 2017年9月 -10月
  2、旅游体验赛
  特别赛 2017年3月 -10月
  1 2站 2017年7月 -10月
  3、全国总决赛 2017年11月 -12月
  4、春晚录制 2018年1月
  执行地点：全国38个大区(赛区)+目的地、 12个景区、赞劣地等地区
  主办单位：同程旅游
  合作单位：旅游卫视
  承办单位：百旅会"
,百旅会积分转让,尊敬的同程VIP会员您好，百旅会的积分是可以转让的哦，但是仅限于预订人和收益人之间转让，非会员是无法转让的哦~
,百旅会积分怎样查询,"尊敬的同程VIP会员您好，同同无法为您直接查询，非常抱歉为您带来的不便~百旅会积分可以直接登录手机app端进行查询哦。具体查询步骤登录手机app端--点击我的--会员中心--百旅会会员，进入页面后可直接查询剩余积分哦，如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45。或者您也可以直接致电400-180-7777百旅会客服热钱，您也可以直接在线咨询您的顾问为您查询哦~"
,百旅会能抵扣多少,"尊敬的同程VIP会员您好，每条线路积分抵扣的规则不一样哦，具体的每条线路上面都会有说明的，具体从线路详情里面查看哦~如果还有疑问，可以直接拨打[link url=""tel:4007777777""]400-777-7777[/link]进行线路积分咨询哦。"
,机票酒店可以使用积分抵扣吗,尊敬的同程VIP会员您好，单品一般不支持积分抵扣哦，像酒店，机票，景点门票，火车票都是不支持积分抵扣的哦~ 国内游（长线或者短线，跟团或者自由行）出境游（跟团或者自由行）都是可以正常抵扣的哦~具体详细看线路说明哦~
,百旅会哪些线路可以使用积分抵扣,尊敬的同程VIP会员您好，百旅会的积分大部分线路都是受用的哦，像出境（自由行或者跟团）国内游（长线或者短线)，基本上都是可以直接使用的哦~具体可以查看线路说明.
,积分可以非会员使用吗,尊敬的同程VIP会员您好，百旅会积分使用无会员限制的哦，您可以和您的家人或者朋友共同使用账户里面的积分哦~（账户有积分的情况下哦）
,儿童可以使用积分吗,尊敬的同程VIP会员您好，百旅会积分部分线路儿童是无法参加积分活动的哦，每条线路预订规则不一样，具体详细看线路说明哦~
,百旅会怎样获得获得积分,"尊敬的同程VIP会员您好，百旅会在会员期间获得积分的方式有两种.第一可以进行转介绍朋友加入百旅会,可获得部分积分.（转介绍规则如下：黄金关爱版转介绍积分200,白金浪漫版转介绍积分300,铂金浪漫版积分400）.第二，可以购买百旅会1000积分的升级包。详细可以拨打[link url=""tel:4001807777""]400-180-7777[/link]进行充值哦~"
,线路取消积分什么时候到账,"尊敬的同程VIP会员您好，订单无支付的情况下要取消订单，积分及时到账。支付后线路无损的情况下取消订单，在退款完成后积分及时到账。线路有损失的情况，积分会根据线路判定可能会有相应的损失，详情要咨询线路专员哦。如果还未解决您的疑问，您可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]，线路有损情况，咨询[link url=""tel:4007777777""]400-777-7777[/link]"
,积分在谁的名下呢,"尊敬的同程VIP会员您好，以12月24日0时为时间节点，24日后下单的客户，积分全部在下单人的名下；
              24号之前下单并且激活的，积分在受益人名下；
              24号之前下单但是24号后激活的，积分在下单人名下"
,积分抵扣是否可以和其他优惠同时使用,"尊敬的同程VIP会员您好，以12月24日0时为时间节点，24日后下单的客户，积分全部在下单人的名下；
              24号之前下单并且激活的，积分在受益人名下；
              24号之前下单但是24号后激活的，积分在下单人名下"
,百旅会积分抵扣比例,"尊敬的同程vip会员您好，百旅会积分抵扣比例1:1,1:2的都有哦，具体可以查看线路说明，显示双倍积分的就是1:2哦~"
,百旅会积分问题请点这里,-
,积分抵扣规则,尊敬的同程VIP会员您好，百旅会入会就送等值的积分，积分不限人数，可以和朋友家人共同使用。（在账户有积分的前提下）每条线路所抵扣的积分不一样，具体可以直接查看线路抵扣规则哦~一年内积分使用不限制次数，只要账户有积分，线路支持使用积分，都是可以正常参与的哦~
,为什么我的积分显示是零呢,尊敬的同程VIP会员您好，百旅会积分在您预订完成并且成功签约及激活的情况下才能显示积分明细哦~如果您的百旅会会员已经签约但是并没有激活的情况下，积分是不显示的哦~
,百旅会积分能转让吗,"尊敬的同程vip会员您好，百旅会积分仅限于会员与会员之间转让哦，您自己无法直接操作，如果您需要转让积分，您可以直接联系您的顾问去帮您申请，也可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行申请哦~"
,积分提现,尊敬的同程VIP会员您好，百旅会入会即赠等值积分，积分是在旅游线路预订是享有积分抵扣折扣，不能用于提现哦~
,积分有多少,尊敬的同程vip会员您好，入会百旅会会赠送等值的积分哦，百旅会黄金关爱版是2199的积分，白金国内版是3699的积分，铂金浪漫版是5699的积分。同程要客则为4500积分哦。如有问题可以直接在线咨询人工服务哦。
,积分未到账,"尊敬的同程vip会员您好，转介绍入会赠送积分有7天的犹豫期，推荐会员已成功入会并且已经过7天犹豫期后积分到账。如果是活动抽奖赠送的积分，一般为活动结束后统一进行充值，如果您一直未收到积分，可以详细咨询[link url=""tel:4001807777""]400-180-7777[/link]进行查询。"
,要客转介绍积分有多少,尊敬的同程vip会员您好，在您入会要客后，并将产品转介绍给您的朋友成功入会，是会赠送您200元的积分哦。
,积分有效期是多久,尊敬的同程vip会员您好，百旅会所有会员的积分有效期是五年哦，即使您第二年不充值会员费，积分也是可以正常在五年内使用的哦，五年内未使用完毕是会自动清零的哦~
,积分是会员才有的吗,尊敬的同程vip会员您好，百旅会积分是只有vip会员才拥有的哦~
,我的积分为什么少了？,"尊敬的同程VIP会员您好，如果您未使用积分有积分减少的情况下，您可以联系我们协助您查看积分扣减情况哦。如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一到周五）

也可以致电：[link url=""tel:4001807777""]400-180-7777[/link]进行查询。"
,百旅会相册的构成,尊敬的vip会员您好：相册有三种款式，每本相册10个版面，内含20张照片，三本相册内容相同材质尺寸分别为：一款皮质封面12吋，一款木质封面10吋，一款皮质封面（绒面）12吋，可以根据个人喜欢好三选一哦。三种相册样式均可至同程旅游体验店查看。
,百旅会拍摄是在船上还是岸上,尊敬的百旅会会员您好，因为邮轮上应有尽有，且取景地比较好，百旅会旅拍全部是在邮轮上面拍摄的哦~
,爱家途影具体指哪些内容,尊敬的同程vip会员您好，出游中：婚礼环节享受专业化妆和专业拍摄；出游后：享受专业修片并制作电子数码相册一份（H5）和精美相册一份+一张纪念光盘。
,百旅会的服装有几套,尊敬的同程vip会员您好，婚拍婚纱有一套哦，西式婚礼：男士一套西装（西裤、衬衫、马甲），女士一套婚纱，款式统一，有SML等不同尺码。
,回团后什么时候拿到相册,尊敬的同程vip会员您好：回团后，旅拍10天内可制作完成电子相册（H5）给到客服，客服同步至您进行选片同时记录邮寄地址，并回收您自己提供的照片和子女提供的信件，选片和回收动作5天内完成，同步至旅拍进行修片和相册制作并邮寄（30天左右），所以回团后预计45天拿到完成后的相册。（如果未及时完成选片，相册交付时间顺延）
,人工(工作时间8:45-5:45),[$blhzrg$]
,人工工作时间,"尊敬的同程vip会员您好，百旅会人工客服工作时间为周一到周五（8:45-5:45）哦~如果有紧急问题可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行电话咨询哦~"
,入会后有没有一对一的顾问,尊敬的vip会员您好，在您入会前我们会为您安排一对一的专属旅游顾问为您解答您的疑问，线路问题，行程问题都可以一一为您解答，入会后我们会为您安排一对一的专属客服为您跟进售后问题，后续如果要预约活动、参加线路、预约体检、售后问题可以随意咨询我们的专属客服，我们会第一时间为您解答问题的哦。
,人工电话怎么打不通,"尊敬的同程vip会员您好，百旅会人工客服热线400-180-7777.如果您未接通的情况下应该是人工繁忙，可以过五分钟左右再次拨打。如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一到周五）"
,呵呵呵,"不好意思，同同没有明白您的意思，您可以换个方式提问吗？举例：（问题中加关键字、一句一句问、问句完整简介）或者请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一到周五）"
,怎样在app端查百旅会的订单,尊敬的同程vip会员您好~百旅会会员不是以订单的方式呈现的哦，百旅会是以会员的方式呈现，首先用受益人的手机号码登录手机客户端-点击我的--会员中心--百旅会会员，进去后在页面上直接可以看到您的会员信息和剩余积分的哦~
,百旅会可以开什么类型的发票,尊敬的同程vip会员您好，百旅会的发票类型有两种哦，服务费和会员费。
,预约体检注意点,"尊敬的同程vip会员您好，预约时间：提前5天预约会员日。1：每家体检中心只有会员日（周一到周五之间）跟非会员日（周六或者周日）可以预约体检，会员日有专门的工作人员陪同体检
2：体检项目当中有些是需要空腹检查的，比如抽血，腹部彩超，尿检，这些项目只有空腹才能确保检测结果的准确性。
3：预约体检务必预留当日体检人的手机号码和身份证号码。"
,百旅会怎么预约体检,"尊敬的同程vip会员您好，预约体检的方式有三种哦~第一，您可以直接在手机app端进入百旅会会员专区去自行选择预约体检（系统会自动定位离您最近的体检机构）
第二，您可以直接致电百旅会热线[link url=""tel:4001807777""]400-180-7777[/link]进行预约体检
第三，您也可以直接和您的专属顾问预约体检哦~

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）
如果有紧急情况也可以直接拨打[link url=""tel:4001807777""]400-180-7777[/link]~进行电话咨询。"
,百旅会体检项目包含哪些,"尊敬的同程vip会员您好~百旅会健康权益全称：精准健康管理初筛计划，包含一年一次免费检前健康问卷，一次百旅会中老年专享体检（基础内外科，眼耳鼻喉科，心电图，胸部DR，腹部彩超，血常规，尿常规，血脂，血糖，肝功，肾功，肿瘤筛查AFP和CEA,骨密度），集中体检日参检同程专人陪检，健康专家报告解读和健康管理建议，不定期健康讲座。"
,百旅会体检权益可以赠送给朋友吗,尊敬的vip会员您好，百旅会体检权益在没有预约的情况下是可以直接转让的哦~预约体检时留体检人的手机号码和体检人的身份信息即可，体检时出示身份证即可~
,百旅会体检大概要花多长时间,尊敬的vip会员您好~一般的话体检需要两小时左右，人多排队的话可能会更长些，这要根据体检机构当天体检人数的多少哦，不过我们的陪检人员会安排体检流程，最大程度的节省你们的时间。
,已经预约了体检可以转让给朋友吗,"尊敬的vip会员您好：A您不去了我这边可以帮你取消预约，等到您方便的时候还可以重新预约体检。
  B如果您转送给朋友也是可以的，这边需要您提供朋友身份证信息~（具体操作可直接拨打[link url=""tel:4001807777""]400-180-7777[/link]哦）"
,百旅会体检报告什么时候出结果,尊敬的vip会员您好：每个体检机构出报告的时间都不太一样，一般是3-7工作日哦。
,怎样获取体检报告,"尊敬的同程vip会员您好：目前体检报告一般是您自己上网查询（体检机构会提供账号和密码）或者到体检机构自取。也可以要求体检机构邮寄，需要到付。（各个体检机构报告获取方式不一样，具体您可以到现场咨询体检机构）如果未解决您的疑问，您可以致电[link url=""tel:4001807777""]400-180-7777[/link]）进行详细咨询"
,百旅会体检报告能用于旅游体检的报告吗,尊敬的同程vip会员您好：百旅会的体检机构都是专业的体检机构，是可以用于旅游的体检报告的哦~
,体检中心早上几点开门,尊敬的同程vip会员您好，体检中心一般情况下是是早上7:30开始营业，您7:30准时到达体检中心即可~
,为什么要会员日去体检,尊敬的同程vip会员您好，会员日是我们和体检机构约定的，人数上会控制比平时好，而且我们安排了陪检的同事，更好的给会员服务，及时解答和处理问题的哦~
,是否需要空腹体检,尊敬的同程vip会员您好，体检项目当中有些是需要空腹检查的，比如抽血，腹部彩超，尿检，这些项目只有空腹才能确保检测结果的准确性的呢。
,体检项目不够，可以添加吗,尊敬的百旅会会员您好，我们现在提供的项目初步覆盖全身各个系统，如果您在某些项目上需要更深入的检测，可以联系我们的陪检员，现场进行付款加项，可以享受百旅会会员价八折（美年、爱康），其他机构后期同步共享中~
,预约完体检可以变更体检人吗,"尊敬的vip会员您好，体检预约后一般情况下是可以变更体检人的，需要在体检前3个工作有日进行变更或者取消。如果需要变更体检人可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]哦

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）
如果有紧急情况也可以直接拨打[link url=""tel:4001807777""]400-180-7777[/link]~进行电话咨询~"
,预约完体检修改取消规则,"尊敬的同程vip会员您好，取消预约体检需要在体检前三个工作日可以取消或者修改体检时间，预约体检三个工作日之内无法进行取消的。体检当日无法参加体检则视为权益已经使用。详情可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行咨询。

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）
如果有紧急情况也可以直接拨打[link url=""tel:4001807777""]400-180-7777[/link]~进行电话咨询~"
,在哪里体检,"尊敬的同程vip会员您好，每个会员区域基本都有我们的合作机构哦~您可以直接找您的专属客服为您查询离您最近的体检机构及体检地点，如果未查询到您想要了解的信息，您可以直接致电百旅会客服热像为您详细解答哦~百旅会热线电话：[link url=""tel:4001807777""]400-180-7777[/link]。"
,体检适合老年人吗,尊敬的vip会员您好，百旅会体检是专门针对中老年人群设定的一个全面检查，癌筛查定性，对肝，胃，肺，直肠，乳腺等都关联了，血脂血糖血压三高也涉及了，老年人骨质疏松骨密度也包含了，DR肺部的问题都有考虑到了。会员如果还有个性化的一些项目需求，可以现场联系我们的陪检员增加项目，可以享受百旅会会员折扣。
,不是百旅会会员可以参加体检吗,尊敬的同程vip会员您好，不是百旅会会员暂不接受预订体检哦~但是如果是百旅会会员权益转赠的情况下，可以预约体检哦~
,百旅会体检问题请点这里,-
,百旅会怎样签约,尊敬的同程VIP会员您好~您的订单已经生成并且已经支付完成后，我们会给您发送一条签约短信，里面附带有我们的合同哦，按着我们提示的步骤操作即可~点击同意签约，即合同已经签约完成，或者也可以直接到我们线下旗舰店进行签约哦~
,百旅会订单支付方式,"尊敬的同程VIP会员您好，第一：在预订完成之后会系统会自动给您发送支付链接的哦~您可以直接点击我们为您提供的支付链接进行支付，支付方式：支付宝、微信、信用卡、储蓄卡都可以哦~如果都无法进行支付，您可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行电话咨询哦。第二：您可以直接到线下体验店进行支付签约。"
,百旅会订单预付定金问题,尊敬的同程VIP会员您好，百旅会的订单目前不支持支付部分定金哦，需要全额支付的，协议签约才能正常使用的哦。
,百旅会可以到门店签约吗,尊敬的同程VIP会员您好，百旅会是可以提供纸质的合同也可以进行短信签约，如果您需要要纸质签约，您可以直接到您所在的地区的旗舰店进行纸质签约的哦。
,百旅会签约付款流程,"尊敬的同程VIP会员您好，百旅会是支持先签约后支付的哦，具体操作流程可以直接联系您的专属顾问或者直接致电百旅会热线进行为您服务哦~（百旅会热线[link url=""tel:4001807777""]400-180-7777[/link]）"
,百旅会订单,"尊敬的同程VIP会员您好，在预订完成之后会系统会自动给您发送支付链接的哦~您可以直接点击我们为您提供的支付链接进行支付，支付方式：支付宝、微信、信用卡、储蓄卡都可以哦~如果都无法进行支付，您可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行电话咨询哦。"
,会员价格,"尊敬的同程VIP会员您好，百旅会会员有三个版本哦，黄金关爱版价格为2199元，白金浪漫版价格为3699元，铂金浪漫版价格为5699元哦~如需详细咨询可直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行电话咨询哦。"
,程程白条支付百旅会,尊敬的同程VIP会员您好，程程白条是不可以支付百旅会的订单哦~支付方式可以是线下支付或者线上都可以哦。
,百旅会会员可以直接支付旅游订单吗,尊敬的同程VIP会员您好：百旅会的订单费用是一年的会费哦，百旅会会员的费用是无法直接支付旅游的费用哦，入会即享有等值积分，是可以享用积分抵扣，积分比例有一比一，一比二。
,百旅会怎么申请退款,"尊敬的同程VIP会员您好，您无法直接申请退款的哦，如果需要申请退款，可以直接跟您的专属顾问沟通或者可以直接致电百旅会热线进行详细咨询哦，咨询热线[link url=""tel:4001807777""]400-180-7777[/link]~

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45"
,百旅会可以退吗,"尊敬的同程vip会员您好，入会后有七天的犹豫期哦，在七天犹豫期内并且没有使用任何权益，是可以直接去申请退款的哦~

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45"
,百旅会退款什么时候到账,"尊敬的同程vip会员您好，退款都是原路退回的哦，支付宝是3-5个工作日到账，储蓄卡是7-10个工作日，信用卡是10-15个工作日哦~客官不要着急，在提交申请后我们的工作人员也会在第一时间为您处理的哦~

请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45"
,百旅会积分已经抵用可以退会吗,尊敬的同程vip会员您好，如果您还在7天犹豫期内，并且已经使用了相应积分，是要扣除相应等值积分的费用哦~如果已经过了7天犹豫期，是不支持退的哦~
,使用百旅会积分预订了线路，积分可以退吗,"尊敬的同程vip会员您好，如果已经使用了百旅会积分预订线路，在线路无损的情况下，积分会自动退还。线路产生损失的情况下积分也是有相应的损失的哦~具体损失情况请详细咨询[link url=""tel:4007777777""]400-777-7777[/link]。"
,在门店支付现金怎么退款,尊敬的同程vip会员您好，如果您在门店支付的现金，可以直接到门店去取现金的哦~退款一般都是原路退会的哦~
,百旅会退款有损失吗,"尊敬的同程vip会员您好：1、7天犹豫期内，没有使用任何权益，可以退，但是大礼包原物退回。
2、7天犹豫期内，已经激活，使用了相关权益，比如积分等，则需大礼包原物退回+等值权益价格。其中保险在7天犹豫期内，如果投保，可以申请退保，不扣费用，不过该保险也不再生效
3、超过7天犹豫期，退款是有相应的损失哦。"
,百旅会退改问题请点这里,-
,百旅会的订单怎么取消,"尊敬的同程vip会员您好，如果您需要取消百旅会订单可以直接联系您的 专属顾问帮您进行取消，也可以直接致电百旅会客服热线电话进行取消哦。

[link url=""tel:4001807777""]400-180-7777[/link]

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45"

,百旅会超出犹豫期怎么退,"尊敬的同程vip会员您好，超出七天犹豫期是有相应的损失喔。具体权益损失请根据下方核算方式：礼品完好无损的情况下自行联系顾问沟通回寄问题。礼品已使用或者有损情况下，扣除相应损失。权益计算如下：

超出七天扣除【（卡金额/卡有效期）*已使用天数】
已使用权益-7天内
消费积分积分所抵扣的金额，扣完即止
消费权益扣除系统录入的权益价格，扣完即止，保险金额无需扣除，保险将退保
已使用权益-超出7天
消费积分（卡金额/卡有效期）*已使用天数+积分所抵扣的金额，扣完即止
消费权益（卡金额/卡有效期）*已使用天数+扣除系统录入的权益价格，扣完即止
备注： 百旅会赠品（大礼包）退款时需退回； 7天犹豫期外，保险投保成功则算消费权益，需要扣减相应权益价格
重点：东吴保险退款权益价值改为20元工本费，平安保险退款金额保持150元/单人。请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）"
,退款没有收到通知,尊敬的同程vip会员您好，退款提交时会有短信提示的哦，支付宝是3-5个工作日到账，储蓄卡是7-10个工作日，信用卡是10-15个工作日哦~客官不要着急，在提交申请后我们的工作人员也会在第一时间为您处理的哦。
,退款什么时间到账,"尊敬的同程vip会员您好，百旅会退款是需要走流程的哦，提交退款申请后您那边是有短信提示的，也会有专门的退款专员与你取得联系。一般情况下支付宝是3-5个工作日到账，储蓄卡是7-10个工作日，信用卡是10-15个工作日哦~客官不要着急，耐心等待哦~如果再规定的时间内还没有到账，您可以直接致电400-180-7777咨询退款进度哦~请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45"
,要客可以退吗,"尊敬的同程vip会员您好：加入要客后有个七天的有效期，在七天有效期内并无使用任何权益是可以申请退的哦，如果超出七天犹豫期退订是有损失的哦~
如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）
如果有紧急情况也可以直接拨打[link url=""tel:4001807777""]400-180-7777[/link]~进行电话咨询。"
,要客怎么申请退款,"尊敬的同程vip会员您好，您无法直接在手机端申请退款哦，如有需要可以点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）
或者也可以直接拨打[link url=""tel:4001807777""]400-180-7777[/link]~进行电话咨询。"
,升级包怎么退款,"尊敬的同程VIP会员您好，升级包权益如果没有使用的情况下是可以正常申请退款的，如果权益已经使用，是要扣除部门费用的哦，具体您可以直接转接[link class=""tosupporter""]【?人工客服】[/link]为您查询。"
,百旅会是什么,尊敬的同程VIP会员您好，百旅会是一个中国中老年旅游VIP会员俱乐部、中国中老年品质旅游幸福生活社群，由我们同程开发的一系列适合老年人出游的线路，同时附加社区门店或者团队出游活动，让老年人的生活更为丰富多彩。
,百旅会怎么预定,"尊敬的同程VIP会员您好，如您要成为百旅会会员，您打开同程旅游手机客户端-点击保险下方的“百旅会”-“会员权益”-“加人百旅会”-完善您的信息或者直接致电[link url=""tel:4001807777""]400-180-7777[/link]即可成为我们百旅会俱乐部的VIP会员哦。"
